nct_id,num_drugs,has_immuno,has_chemo,has_targeted,num_genes,has_biomarker,phase,sponsor_category
NCT04494958,1,0,0,0,0,0,,Other
NCT03067935,1,0,0,0,0,0,,Other
NCT01127763,2,0,1,0,0,0,,Other
NCT02521363,2,0,0,0,0,0,,Other
NCT03197935,7,0,0,0,0,0,,Industry
NCT02207335,2,0,0,0,0,0,,Academic
NCT02432963,3,1,0,0,0,0,,Other
NCT06313463,2,0,0,0,0,0,,Academic
NCT04577963,2,0,0,0,0,0,,Other
NCT06817525,4,0,0,0,0,0,,Academic
NCT06418139,1,0,0,0,0,0,,Other
NCT05402722,2,0,0,0,0,0,,Academic
NCT06692725,0,0,0,0,0,0,,Academic
NCT03544125,2,0,0,1,0,0,,Academic
NCT05453825,3,0,0,0,0,0,,Other
NCT02352025,1,0,0,0,0,0,,Academic
NCT05238922,7,0,1,1,0,0,,Other
NCT06497322,1,0,0,0,0,0,,Academic
NCT06449222,9,0,1,0,0,0,,Other
NCT01560663,1,0,0,0,0,0,,Other
NCT03978663,1,0,0,0,0,0,,Academic
NCT03280563,8,0,0,1,0,0,,Industry
NCT06646263,0,0,0,0,0,0,,Academic
NCT05388435,1,0,0,0,0,0,,Other
NCT05230186,1,0,0,0,0,0,,Other
NCT01377363,0,0,0,0,0,0,,Other
NCT01287624,2,0,0,0,0,0,,Academic
NCT07064018,3,0,0,0,0,0,,Academic
NCT05057013,2,0,0,0,0,0,,Other
NCT05340413,1,0,0,1,0,0,,Other
NCT06261918,1,0,0,0,0,0,,Other
NCT01445418,1,0,0,0,0,0,,Academic
NCT04159818,3,1,1,0,0,0,,Academic
NCT04188119,3,0,0,0,0,0,,Other
NCT04250818,0,0,0,0,0,0,,Academic
NCT02162719,3,0,1,0,0,0,,Other
NCT04408118,3,1,1,1,0,0,,Other
NCT01939418,3,0,1,0,0,0,,Other
NCT04418219,6,1,0,0,0,0,,Academic
NCT05750719,1,0,0,0,0,0,,Other
NCT03289819,4,1,0,0,0,0,,Other
NCT06203119,0,0,0,0,0,0,,Academic
NCT01372579,3,0,1,0,0,0,,Academic
NCT04134884,2,0,0,0,0,0,,Other
NCT04916002,2,0,0,0,0,0,,Other
NCT01094184,3,0,1,1,0,0,,Industry
NCT06078384,2,0,0,0,0,0,,Other
NCT06337084,2,0,0,0,0,0,,Other
NCT05969184,1,0,0,0,0,0,,Academic
NCT01147484,1,0,0,0,0,0,,Other
NCT03777579,3,0,0,0,0,0,,Other
NCT04514484,5,1,0,0,0,0,,Academic
NCT04260802,2,0,0,0,0,0,,Other
NCT02981303,2,1,0,0,0,0,,Other
NCT02850302,2,0,0,0,0,0,,Other
NCT05741164,6,1,0,0,0,0,,Academic
NCT05296564,4,0,0,0,0,0,,Other
NCT04877821,6,0,1,0,0,0,,Academic
NCT01045421,1,0,0,0,0,0,,Other
NCT05227664,4,0,1,0,0,0,,Other
NCT03815890,3,1,0,0,0,0,,Academic
NCT04461990,1,0,0,0,0,0,,Academic
NCT05461690,1,0,0,0,0,0,,Academic
NCT04365790,0,0,0,0,0,0,,Other
NCT05019690,2,0,0,0,0,0,,Academic
NCT06175390,3,0,0,0,0,0,,Other
NCT04914390,3,0,0,0,0,0,,Academic
NCT03945721,2,0,0,0,0,0,,Academic
NCT06238921,3,0,0,0,0,0,,Academic
NCT06150664,1,0,0,0,0,0,,Other
NCT01234402,3,0,0,0,0,0,,Other
NCT00203502,3,0,1,1,0,0,,Academic
NCT01207102,2,0,1,0,0,0,,Academic
NCT06419621,3,0,0,0,0,0,,Other
NCT06840821,1,0,0,0,0,0,,Other
NCT05949021,1,0,0,0,0,0,,Other
NCT05935384,1,0,0,0,0,0,,Other
NCT06264921,1,0,0,0,0,0,,Other
NCT00749502,1,0,0,0,0,0,,Other
NCT02124902,3,0,1,0,0,0,,Academic
NCT02876302,4,0,1,0,0,0,,Academic
NCT06833502,1,0,0,0,0,0,,Academic
NCT05460702,1,0,0,0,0,0,,Academic
NCT03340402,2,0,0,0,0,0,,Academic
NCT06014502,1,0,0,0,0,0,,Other
NCT06533384,2,0,0,0,0,0,,Academic
NCT01662284,1,0,0,0,0,0,,Academic
NCT04067102,2,0,0,0,0,0,,Academic
NCT06036121,1,0,0,0,0,0,,Other
NCT02936102,2,0,0,0,0,0,,Industry
NCT05770102,1,1,0,0,0,0,,Other
NCT04521621,2,1,0,0,0,0,,Other
NCT00633464,2,0,0,0,0,0,,Other
NCT02402764,1,0,0,0,0,0,,Academic
NCT02950064,1,0,0,0,0,0,,Other
NCT06976021,3,0,0,0,0,0,,Academic
NCT06257264,3,0,0,0,0,0,,Other
NCT05336721,2,0,0,0,0,0,,Other
NCT05404321,1,0,0,0,0,0,,Other
NCT05955521,1,0,0,0,0,0,,Other
NCT00546364,3,0,0,0,0,0,,Other
NCT06279364,6,0,1,0,0,0,,Other
NCT04292821,0,0,0,0,0,0,,Other
NCT06681064,0,0,0,0,0,0,,Other
NCT03742102,6,0,1,0,0,0,,Industry
NCT01015521,1,0,0,0,0,0,,Other
NCT03414684,2,1,1,0,0,0,,Academic
NCT01837602,1,0,0,0,0,0,,Academic
NCT05447702,5,0,0,0,0,0,,Academic
NCT05677802,4,0,0,0,0,0,,Academic
NCT06299202,1,0,0,0,0,0,,Other
NCT03125902,3,0,1,0,0,0,,Industry
NCT06409221,1,0,0,0,0,0,,Other
NCT04592484,1,0,0,0,0,0,,Other
NCT04549584,1,0,0,0,0,0,,Academic
NCT04927884,4,0,0,0,0,0,,Other
NCT05675579,2,1,0,0,0,0,,Other
NCT06225284,1,0,0,0,0,0,,Academic
NCT00691379,3,0,1,1,0,0,,Other
NCT06112379,10,1,1,1,0,0,,Industry
NCT03383679,2,0,0,0,0,0,,Other
NCT03799679,1,0,0,0,0,0,,Academic
NCT01042379,43,0,0,0,0,0,,Other
NCT02161679,2,0,0,0,0,0,,Other
NCT05451784,1,0,0,0,0,0,,Other
NCT06238479,1,0,0,0,0,0,,Other
NCT04683679,3,1,0,1,0,0,,Other
NCT04803084,3,0,0,0,0,0,,Other
NCT05252390,3,0,0,1,0,0,,Other
NCT04980690,1,0,0,0,0,0,,Other
NCT02734290,3,1,1,0,0,0,,Other
NCT04925284,3,1,0,1,0,0,,Industry
NCT06136884,1,0,0,0,0,0,,Other
NCT02900664,5,0,0,0,0,0,,Industry
NCT06103864,7,1,1,0,0,0,,Industry
NCT04874064,1,0,0,0,0,0,,Academic
NCT06291064,6,0,1,0,0,0,,Academic
NCT02945579,5,0,0,0,0,0,,Other
NCT03457779,1,0,0,0,0,0,,Academic
NCT04809779,1,0,0,0,0,0,,Academic
NCT01250379,2,0,0,0,0,0,,Industry
NCT06434064,7,0,0,0,0,0,,Academic
NCT01779479,2,0,1,0,0,0,,Other
NCT01071564,5,0,0,0,0,0,,Academic
NCT06991790,1,0,0,0,0,0,,Academic
NCT06220214,3,0,0,0,0,0,,Other
NCT02658214,9,0,0,0,0,0,,Industry
NCT02263495,3,0,1,0,0,0,,Other
NCT04584255,2,0,0,0,0,0,,Academic
NCT05546255,2,0,0,0,0,0,,Other
NCT06618014,3,0,1,0,0,0,,Academic
NCT07046195,0,0,0,0,0,0,,Academic
NCT03761914,4,1,0,0,0,0,,Other
NCT05495295,2,0,0,0,0,0,,Other
NCT03893955,5,0,1,0,0,0,,Other
NCT04690855,3,1,0,0,0,0,,Other
NCT04582955,1,0,0,0,0,0,,Academic
NCT02574455,5,0,0,0,0,0,,Other
NCT02259114,1,0,0,0,0,0,,Other
NCT02897050,6,0,1,0,0,0,,Academic
NCT01619514,0,0,0,0,0,0,,Academic
NCT06135714,4,0,0,0,0,0,,Academic
NCT06240195,1,0,0,0,0,0,,Academic
NCT02743910,2,0,0,0,0,0,,Other
NCT01698281,3,0,0,0,0,0,,Other
NCT06084481,1,0,0,0,0,0,,Other
NCT01612910,2,0,0,0,0,0,,Academic
NCT05730010,0,0,0,0,0,0,,Academic
NCT04061408,1,0,0,0,0,0,,Academic
NCT00972023,2,0,0,0,0,0,,Academic
NCT02838823,1,0,0,0,0,0,,Other
NCT01969643,2,0,0,1,0,0,,Other
NCT02779855,2,0,1,0,0,0,,Academic
NCT04052555,5,0,0,0,0,0,,Academic
NCT05916755,8,1,0,0,0,0,,Academic
NCT06422455,6,0,0,0,0,0,,Academic
NCT02284581,0,0,0,0,0,0,,Other
NCT03613181,2,0,0,0,0,0,,Other
NCT03150810,2,0,0,0,0,0,,Other
NCT00031681,3,0,0,0,0,0,,Academic
NCT02575781,1,0,0,0,0,0,,Other
NCT01837095,1,0,0,0,0,0,,Other
NCT02978495,4,0,1,0,0,0,,Academic
NCT02322814,5,1,1,0,0,0,,Industry
NCT00483223,2,0,1,0,0,0,,Academic
NCT04068623,1,0,0,0,0,0,,Other
NCT01677455,1,0,0,0,0,0,,Other
NCT02802423,1,0,0,0,0,0,,Other
NCT01281150,5,0,1,0,0,0,,Academic
NCT05816655,2,0,0,0,0,0,,Academic
NCT01194908,1,0,0,0,0,0,,Academic
NCT01391143,1,0,0,0,0,0,,Other
NCT05698238,1,0,0,0,0,0,,Other
NCT03154190,4,0,0,0,0,0,,Academic
NCT03756090,5,0,1,0,0,0,,Academic
NCT03861403,3,0,0,0,0,0,,Other
NCT04059003,1,0,0,0,0,0,,Academic
NCT00499603,5,0,1,0,0,0,,Other
NCT05089643,2,0,0,0,0,0,,Other
NCT03206203,4,1,1,0,0,0,,Other
NCT03620643,2,0,0,0,0,0,,Other
NCT03291938,3,0,0,0,0,0,,Other
NCT04031703,6,0,1,0,0,0,,Academic
NCT05889390,5,0,1,0,0,0,,Academic
NCT02834403,5,0,1,0,0,0,,Academic
NCT07038369,2,0,0,0,0,0,,Other
NCT02644369,1,1,0,0,0,0,,Academic
NCT01617668,2,0,1,0,0,0,,Industry
NCT05742269,1,0,0,0,0,0,,Academic
NCT06335069,1,0,0,0,0,0,,Academic
NCT03219268,11,0,0,0,0,0,,Other
NCT01194869,3,0,1,0,0,0,,Academic
NCT02977468,2,0,0,0,0,0,,Other
NCT01057069,3,0,0,0,0,0,,Academic
NCT05929768,10,1,1,0,0,0,,Other
NCT06931769,0,0,0,0,0,0,,Academic
NCT06465069,1,0,0,0,0,0,,Other
NCT05099068,1,0,0,0,0,0,,Other
NCT02120469,4,0,0,0,0,0,,Other
NCT02957968,6,1,1,0,0,0,,Academic
NCT03974204,3,0,0,0,0,0,,Other
NCT03358004,2,0,0,0,0,0,,Academic
NCT02768701,2,1,0,0,0,0,,Other
NCT02755272,3,1,1,0,0,0,,Other
NCT04265872,1,0,0,0,0,0,,Academic
NCT06879704,1,0,0,0,0,0,,Other
NCT02513472,2,1,0,0,0,0,,Other
NCT00608972,3,0,1,1,0,0,,Academic
NCT01421472,2,0,1,0,0,0,,Other
NCT05490472,2,0,0,0,0,0,,Other
NCT02595372,1,0,0,0,0,0,,Other
NCT01045304,3,0,1,0,0,0,,Other
NCT00894504,3,0,1,0,0,0,,Other
NCT06433804,1,0,0,0,0,0,,Academic
NCT03829501,2,1,0,0,0,0,,Other
NCT04762901,6,0,1,0,0,0,,Academic
NCT05581004,3,1,0,0,0,0,,Other
NCT04314401,6,0,0,0,0,0,,Academic
NCT04123704,1,0,0,0,0,0,,Other
NCT04297267,2,0,1,0,0,0,,Academic
NCT06974604,1,0,0,0,0,0,,Academic
NCT02202746,1,0,0,0,0,0,,Other
NCT04335669,2,0,0,0,0,0,,Academic
NCT01276769,2,0,0,0,0,0,,Other
NCT06598046,1,0,0,0,0,0,,Academic
NCT03303846,3,0,0,0,0,0,,Other
NCT04504669,2,0,0,0,0,0,,Industry
NCT04001569,1,0,0,0,0,0,,Academic
NCT04606472,1,0,0,0,0,0,,Other
NCT02484404,3,0,0,1,0,0,,Academic
NCT03076372,1,0,0,0,0,0,,Other
NCT06400472,3,0,1,1,0,0,,Other
NCT03579472,2,0,0,0,0,0,,Other
NCT03997968,4,0,0,0,0,0,,Other
NCT04981119,3,0,0,0,0,0,,Other
NCT04722718,1,0,0,0,0,0,,Other
NCT06768931,1,0,0,0,0,0,,Academic
NCT02637531,2,1,0,0,0,0,,Other
NCT03720431,1,0,0,0,0,0,,Other
NCT06545331,2,1,0,0,0,0,,Industry
NCT05466760,1,0,0,0,0,0,,Academic
NCT03875313,2,0,0,0,0,0,,Other
NCT04025216,3,0,0,0,0,0,,Other
NCT03393416,2,0,0,0,0,0,,Other
NCT04243616,5,0,1,0,0,0,,Other
NCT04102618,4,1,0,1,0,0,,Other
NCT01141530,1,0,0,0,0,0,,Academic
NCT04699630,1,0,0,0,0,0,,Other
NCT04039230,2,0,0,0,0,0,,Academic
NCT02616848,2,0,0,0,0,0,,Other
NCT06845319,3,1,1,0,0,0,,Academic
NCT06195618,1,0,0,0,0,0,,Other
NCT03733119,2,0,0,0,0,0,,Academic
NCT06526819,1,0,0,0,0,0,,Other
NCT02819518,6,1,1,0,0,0,,Other
NCT01351103,2,0,0,0,0,0,,Industry
NCT05198843,2,0,0,0,0,0,,Academic
NCT03002103,3,0,1,0,0,0,,Other
NCT02447003,1,1,0,0,0,0,,Other
NCT02276443,5,0,0,0,0,0,,Other
NCT01849250,2,0,0,0,0,0,,Academic
NCT03098550,2,1,0,0,0,0,,Other
